KE,KT,HC_prop,scale,KC,scenario,HC_label,N,dN
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.891210993415402,0.005194599741379609
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.994274262811338,0.005326017861070439
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.097337532207273,0.005457921292690533
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.200400801603205,0.005590284492261941
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.30346407099914,0.0057230819158067105
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.406527340395076,0.005856288019346888
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.50959060979101,0.005989877258904527
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.612653879186947,0.0061238240905016625
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.71571714858288,0.006258102970160346
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.818780417978815,0.006392688353902637
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,20.92184368737475,0.00652755469775057
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.024906956770685,0.0066626764577261965
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.12797022616662,0.0067980280898515665
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.231033495562553,0.006933584050148717
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.33409676495849,0.007069318794639711
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.437160034354424,0.007205206779346584
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.54022330375036,0.007341222460291395
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.643286573146295,0.007477340293496182
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.746349842542227,0.007613534734982987
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.849413111938162,0.007749780240773876
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,21.952476381334098,0.00788605126689088
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.055539650730033,0.008022322269356055
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.158602920125965,0.008158567704191445
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.2616661895219,0.008294762027419097
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.364729458917836,0.008430879695061063
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.46779272831377,0.008566895163139392
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.570855997709707,0.008702782887676121
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.67391926710564,0.008838517324693297
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.776982536501574,0.008974072930212986
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.88004580589751,0.00910942416025722
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,22.983109075293445,0.00924454547084805
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,23.08617234468938,0.009379411318007526
