site_code,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,sim_id,basin_start
RR,40,0.5584,6.334970376221463,42.76019891258329,76.5762874509013,76.5762874509013,0.005596071132311375,FALSE,119,Endemic
TW,15,0.3655999999999999,4.350187610602006,17.92927996488288,49.040700122765,49.040700122765,0.011986604973093045,FALSE,120,Endemic
TB,5,0.5508406725380304,5.596449913457036,26.469568451866508,48.05303923892627,48.05303923892627,0.01547986078664747,FALSE,121,Endemic
TW,15,0.3655999999999999,5.806580846430734,15.346116756554693,41.97515524221744,41.97515524221744,0.00548079105807385,FALSE,122,Endemic
GR,15,0.6021052631578947,6.791738841915503,18.531131339259446,30.777228622895933,30.777228622895933,0.0030744479565502766,FALSE,123,Endemic
SI,0,0.4432,9.989435840630904,32.41204214282334,73.13186404066639,73.13186404066639,0.0018944760428248613,FALSE,124,Endemic
GR,55,0.26380873866446825,9.874341547721997,18.763304252643138,71.1246501826754,71.1246501826754,0.006373933354358854,FALSE,125,Outbreak basin
TW,50,0.5124099279423538,4.099911590339616,28.43519502785057,55.49306029653963,55.49306029653963,0.004286841257287769,FALSE,126,Outbreak basin
GR,55,0.26380873866446825,8.414452656405047,17.76632957160473,67.34549303236417,67.34549303236417,0.0010498643510534773,FALSE,127,Outbreak basin
GR,15,0.20394736842105263,6.47470926376991,30.41637270944193,149.13834360758625,149.13834360758625,0.001242215705749535,FALSE,128,Endemic
AL,10,0.2576,3.4905783857684582,25.43449593242258,98.73639725319325,98.73639725319325,0.0034461376046817597,FALSE,129,Endemic
GR,30,0.45280000000000004,7.335969947045669,33.70623803464696,74.43957163128745,74.43957163128745,0.01106528264225768,FALSE,130,Endemic
GR,10,0.45280000000000004,3.189824443310499,39.477868939284235,87.18610631467365,87.18610631467365,0.001252082387496235,FALSE,131,Endemic
TB,5,0.35504885993485336,8.438504736870527,21.094005110207945,59.41155567737468,59.41155567737468,0.0033520442214926525,FALSE,132,Endemic
GR,30,0.5808,4.278655594680458,23.88364985352382,41.12198666240327,41.12198666240327,0.0030852486567741607,FALSE,133,Outbreak basin
TB,0,0.48314606741573035,6.179180685896426,38.82924381410703,80.36750463850059,80.36750463850059,0.004103409484593183,FALSE,134,Endemic
SI,0,0.7510008006405124,8.253638753201813,17.930788246449083,23.875857697030813,23.875857697030813,0.01151004843479376,FALSE,135,Endemic
SI,10,0.4432,3.439224322559312,39.59535262780264,89.33969455731643,89.33969455731643,0.005031806376221266,FALSE,136,Endemic
GR,20,0.5808,4.650006605079398,39.356390435714275,67.76238022678078,67.76238022678078,0.0035346806502996285,FALSE,137,Endemic
TB,0,0.35504885993485336,4.167481255019084,40.05328716477379,112.81063449161061,112.81063449161061,0.001394814101023947,FALSE,138,Endemic
GR,45,0.26380873866446825,9.072981267469004,16.18269741302356,61.34253738124244,61.34253738124244,0.002767709980169465,FALSE,139,Outbreak basin
RR,10,0.5012244897959184,9.35916631272994,44.38170440029353,88.54656008201884,88.54656008201884,0.0016664391634551123,FALSE,140,Endemic
GR,40,0.6021052631578947,6.8109438475221395,43.121898556128144,71.6185378117513,71.6185378117513,0.006712250226663083,FALSE,141,Endemic
GR,20,0.45280000000000004,5.585423563141376,33.72446228982881,74.47981954467492,74.47981954467492,0.00883846401075456,FALSE,142,Endemic
AL,10,0.5659259259259259,3.0800677456427366,39.63995550060645,70.04442398667369,70.04442398667369,0.0018514959485878878,FALSE,143,Endemic
TW,45,0.5124099279423538,8.762189154047519,34.33189206523821,67.00083310856644,67.00083310856644,0.0048620195662653284,FALSE,144,Outbreak basin
TB,5,0.5164658634538153,9.285075675463304,18.92906809458509,36.651150509733185,36.651150509733185,0.001166622377686513,FALSE,145,Endemic
