sim_id,site_code,min_N,max_N,final_N
8708,SI,0,4.647939874583017,4.647939874583017
8709,RR,30,35.45000384321192,35.45000384321192
8710,TW,12.42323121447213,15,12.42323121447213
8711,GR,40,75.13017786481288,75.13017786481288
8712,RR,40,51.89400669626463,51.89400669626463
8713,SI,9.28779400839932,10,9.28779400839932
8714,SI,6.698753661061682,10,6.698753661061682
8715,GR,55,72.73396524153006,72.73396524153006
8716,AL,8.405839553719746,10,8.405839553719746
8717,AL,0,6.226189777449293,6.226189777449293
8718,TW,6.406613825968054,15,6.406613825968054
8719,RR,35,37.33780951352779,37.33780951352779
8720,SI,0,5.8389488099986355,5.8389488099986355
8721,TB,3.099989522454305,5,3.099989522454305
8722,TB,5,7.668646905054267,7.668646905054267
8723,TW,45,50.65640789627334,50.65640789627334
8724,SI,0,1.691824269543008,1.691824269543008
8725,TW,5,5.919635638100887,5.919635638100887
8726,GR,45,163.88020804604434,163.88020804604434
8727,GR,8.669394700948903,10,8.669394700948903
8728,GR,35,46.49171202226672,46.49171202226672
8729,GR,9.1994721658472,25,9.1994721658472
8730,TB,5,6.20066370206633,6.20066370206633
8731,AL,0,4.645694298775234,4.645694298775234
8732,GR,20,77.64347494563862,77.64347494563862
8733,TW,3.4254897096373997,5,3.4254897096373997
8734,TB,4.421397388706124,5,4.421397388706124
8735,GR,9.53816160349788,10,9.53816160349788
8736,TB,5,6.892157894007023,6.892157894007023
8737,GR,50,63.7205825339473,63.7205825339473
8738,TW,75,99.23600991332437,99.23600991332437
8739,TB,3.9369149094759317,5,3.9369149094759317
8740,GR,12.623778162007493,20,12.623778162007493
8741,RR,7.665376282694657,15,7.665376282694657
8742,GR,55,56.92559982317168,56.92559982317168
8743,TB,5,5.446880485597024,5.446880485597024
8744,RR,55,60.101158979978194,60.101158979978194
8745,TW,45,127.79469127293474,127.79469127293474
8746,TB,3.764653137953399,5,3.764653137953399
8747,TW,30,63.6707855418636,63.6707855418636
8748,GR,40,69.8214542334579,69.8214542334579
8749,AL,4.1729955747822185,5,4.1729955747822185
8750,RR,13.04953162190288,35,13.04953162190288
8751,SI,5,7.882464953385753,7.882464953385753
8752,GR,50,109.87379170649166,109.87379170649166
8753,TB,5,8.059957602124094,8.059957602124094
8754,SI,13.625948527030678,20,13.625948527030678
8755,GR,55,60.46141399556829,60.46141399556829
8756,TB,5,6.280070508650892,6.280070508650892
8757,RR,30,38.48472644131255,38.48472644131255
8758,RR,45,49.14054445597033,49.14054445597033
8759,TB,0,3.3377216628862683,3.3377216628862683
8760,SI,0,5.063226386274326,5.063226386274326
8761,GR,25.012335220326886,30,25.012335220326886
8762,GR,14.02042056077705,15,14.02042056077705
8763,TW,9.167398582405868,15,9.167398582405868
